,Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
68,East,2,2.0,3,No,Unfurnished,0,0,0,0,1,0,0,0,Relatively New,103,827.5500000000001,Budget,Mid Floor,0.6475
69,South-West,2,2.0,2,Yes,Semifurnished,0,0,0,1,1,0,1,0,Relatively New,95,868.0500000000001,Luxury,Mid Floor,0.6
70,West,2,2.0,2,Yes,Semifurnished,0,0,0,1,1,0,0,0,Relatively New,95,868.0500000000001,Luxury,Low Floor,0.54
71,South-West,2,2.0,3,Yes,Unfurnished,1,0,0,0,1,1,1,0,Relatively New,84,1450.0,Standard,Low Floor,1.1
72,West,2,2.0,3+,Yes,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,107,1366.0,Standard,High Floor,1.1
73,North-East,2,2.0,2,No,Semifurnished,1,0,0,0,1,1,1,0,Moderately Old,50,1336.0,Luxury,Low Floor,2.05
74,North-East,2,2.0,2,No,Unfurnished,0,0,0,0,0,0,0,1,Relatively New,50,1320.0,Luxury,High Floor,1.6
75,North-East,2,2.0,3,Yes,Semifurnished,1,0,0,0,1,1,1,0,New Property,70,1350.0,Luxury,Mid Floor,1.5
76,West,2,2.0,3,Yes,Semifurnished,0,0,0,1,0,1,1,0,Relatively New,85,1640.0,Standard,High Floor,1.62
77,South-East,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,67,945.0,Luxury,High Floor,0.73
78,North-West,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,67,945.0,Luxury,Low Floor,0.74
79,North-West,2,2.0,1,No,Unfurnished,0,0,0,0,0,0,0,1,Relatively New,67,800.0,Budget,Low Floor,0.75
80,South,2,2.0,1,Yes,Unfurnished,0,0,0,0,1,1,1,0,Relatively New,67,800.0,Budget,Low Floor,0.75
81,South,2,2.0,3+,Yes,Unfurnished,1,0,0,0,1,1,1,0,Relatively New,84,1610.0,Luxury,High Floor,1.5
82,South,2,2.0,3,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,81,1529.0,Luxury,Low Floor,1.35
83,East,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,1,0,0,Relatively New,67,1296.0,Luxury,Mid Floor,1.65
84,East,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,0,0,0,Relatively New,67,1484.0,Luxury,High Floor,1.86
85,East,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,0,0,0,Relatively New,67,1484.0,Luxury,High Floor,1.82
86,South-East,2,2.0,2,Yes,Semifurnished,0,0,0,1,1,1,1,0,Relatively New,108,1381.0,Standard,High Floor,2.4
87,West,2,2.0,3,No,Semifurnished,1,0,0,0,0,0,0,1,New Property,84,1610.0,Luxury,High Floor,1.4
88,South,2,2.0,3,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,66,1457.0,Luxury,Mid Floor,2.3
89,North-East,2,2.0,3,Yes,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,70,1565.0,Standard,Low Floor,2.35
90,East,2,2.0,3+,Yes,Unfurnished,1,0,0,0,1,1,0,0,Relatively New,88,1617.0,Luxury,High Floor,1.75
91,East,2,2.0,3+,Yes,Unfurnished,0,0,0,0,0,1,1,0,New Property,47,1264.0,Luxury,Mid Floor,1.1
92,East,2,2.0,2,Yes,Semifurnished,0,0,0,0,0,1,1,0,Relatively New,66,1457.0,Luxury,High Floor,2.2
93,South,2,3.0,2,Yes,Semifurnished,0,0,0,1,1,1,1,0,Relatively New,104,1550.0,Standard,High Floor,1.75
94,East,2,2.0,1,No,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,67,800.0,Luxury,High Floor,0.725
95,East,2,2.0,1,No,Semifurnished,0,0,0,0,0,0,0,0,Relatively New,67,800.0,Luxury,High Floor,0.725
96,East,2,2.0,1,No,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,69,643.95,Luxury,High Floor,0.72
97,North-East,2,3.0,3,Yes,Semifurnished,0,1,0,1,1,1,1,0,Relatively New,104,1700.0,Standard,High Floor,2.05
98,South,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,70,836.0,Budget,High Floor,0.625
99,South-West,2,2.0,2,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,82,1300.0,Luxury,High Floor,1.32
100,South,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,82,1428.0,Luxury,Mid Floor,1.51
101,North,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,0,1,0,Relatively New,67,1484.0,Luxury,High Floor,1.88
102,East,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,67,1484.0,Budget,Mid Floor,1.9
103,West,2,2.0,2,Yes,Semifurnished,0,0,0,1,1,1,1,0,Relatively New,67,1733.4,Luxury,Mid Floor,1.6
104,North-East,2,2.0,2,Yes,Unfurnished,1,0,0,0,1,0,1,0,Relatively New,67,1594.0,Luxury,Low Floor,1.82
105,East,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,70,843.75,Luxury,High Floor,0.65
106,South-East,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,70,836.0,Budget,Mid Floor,0.61
107,South-East,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,70,836.0,Budget,High Floor,0.62
108,North-East,2,2.0,3,Yes,Unfurnished,0,0,1,0,0,1,0,0,Relatively New,85,1671.0,Standard,High Floor,1.7
109,North-West,2,2.0,3,No,Semifurnished,0,0,0,0,0,0,0,0,Relatively New,37,1380.0,Luxury,Low Floor,1.05
110,East,2,2.0,2,No,Semifurnished,0,0,0,1,1,0,0,0,Relatively New,67,1080.0,Standard,High Floor,0.725
111,North,2,2.0,3+,Yes,Unfurnished,1,0,0,0,0,0,0,0,New Property,2,1551.0,Luxury,Low Floor,1.35
112,South-East,2,2.0,3+,Yes,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,47,1269.0,Luxury,High Floor,1.0
113,East,2,2.0,3+,Yes,Unfurnished,1,0,0,0,1,0,0,0,New Property,47,1457.0,Standard,Mid Floor,1.18
114,East,2,2.0,1,Yes,Unfurnished,0,0,0,0,1,0,0,0,Moderately Old,82,1254.15,Luxury,High Floor,0.95
115,North,2,2.0,3,Yes,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,70,1420.0,Luxury,Low Floor,1.85
116,North,2,2.0,3+,Yes,Unfurnished,1,0,0,0,1,0,0,0,New Property,2,1457.0,Luxury,Low Floor,1.2
117,North-East,2,2.0,1,No,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,107,548.0,Luxury,High Floor,0.525
118,North-East,2,2.0,2,Yes,Unfurnished,0,0,0,0,1,1,1,0,Relatively New,113,1795.5000000000002,Luxury,Mid Floor,1.81
119,South,2,2.0,3,Yes,Semifurnished,0,0,0,1,0,0,0,0,Relatively New,113,1596.0,Luxury,Low Floor,1.85
120,West,2,2.0,3,Yes,Semifurnished,0,0,0,1,1,1,0,0,Relatively New,85,1741.0,Standard,Mid Floor,1.71
121,North,2,2.0,3+,Yes,Semifurnished,0,0,0,0,1,1,0,0,Relatively New,88,1463.0,Luxury,Mid Floor,1.45
122,North,2,2.0,2,No,Semifurnished,0,1,0,0,0,0,0,0,New Property,89,1620.0,Luxury,High Floor,1.62
123,West,2,2.0,3,Yes,Semifurnished,1,0,1,0,1,1,1,0,Relatively New,67,1540.0,Standard,High Floor,1.99
124,East,2,2.0,2,Yes,Semifurnished,0,0,1,0,1,1,1,0,Relatively New,67,1350.0,Standard,Mid Floor,1.61
125,North-East,2,2.0,3+,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,108,2200.0,Standard,High Floor,1.2
126,North-East,2,2.0,3+,Yes,Semifurnished,0,0,0,1,1,1,1,0,Relatively New,106,1385.0,Standard,Mid Floor,1.3
127,North-West,2,2.0,1,No,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,70,676.35,Luxury,High Floor,0.64
128,North-East,2,2.0,2,No,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,70,679.0500000000001,Luxury,High Floor,0.65
129,West,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,1,1,0,Moderately Old,81,1250.0,Luxury,Mid Floor,0.95
130,North-East,2,2.0,3,Yes,Semifurnished,1,1,0,1,1,1,1,0,New Property,65,1261.0,Luxury,High Floor,2.14
131,North-East,2,2.0,3,Yes,Semifurnished,1,1,1,1,1,1,1,0,New Property,65,1261.0,Luxury,High Floor,2.16
132,West,2,2.0,1,No,Semifurnished,0,0,1,0,0,0,0,0,Relatively New,67,1555.2,Standard,High Floor,1.55
133,South-East,2,2.0,1,Yes,Semifurnished,0,0,0,0,1,0,0,0,Relatively New,69,650.7,Luxury,Low Floor,0.7
134,North-East,2,2.0,2,No,Semifurnished,0,0,0,0,0,0,0,0,Relatively New,62,1809.6,Standard,High Floor,3.2
135,East,2,2.0,3,Yes,Semifurnished,0,0,0,0,1,1,1,0,New Property,65,1261.0,Budget,High Floor,2.25
136,North,2,2.0,3,Yes,Unfurnished,0,0,0,0,0,1,0,0,New Property,85,1336.5,Luxury,High Floor,1.75
137,North,2,2.0,2,No,Semifurnished,1,0,0,0,1,1,1,0,Under Construction,79,1917.0,Luxury,Mid Floor,1.89
138,North,2,2.0,2,No,Semifurnished,1,0,0,0,1,0,0,0,Under Construction,79,1495.8000000000002,Luxury,Mid Floor,1.6
139,North-East,2,2.0,2,No,Semifurnished,0,0,0,0,1,0,0,0,New Property,107,660.1500000000001,Budget,High Floor,0.45
140,North-East,2,2.0,2,No,Semifurnished,0,0,0,0,0,1,1,0,Relatively New,103,1481.0,Luxury,High Floor,1.5
141,North-East,2,2.0,3+,No,Unfurnished,0,0,0,0,1,1,1,0,Under Construction,106,1366.0,Luxury,Mid Floor,2.1
142,West,2,2.0,3,No,Semifurnished,1,0,0,0,0,1,1,0,Relatively New,68,1478.0,Luxury,Low Floor,1.69
143,East,2,2.0,3,No,Semifurnished,0,0,0,0,1,0,0,0,New Property,65,1261.0,Standard,Low Floor,2.23
144,North,2,2.0,2,No,Semifurnished,1,0,0,0,1,1,1,0,Under Construction,113,1768.5000000000002,Luxury,Mid Floor,1.98
145,North,2,2.0,2,Yes,Semifurnished,1,0,0,0,1,1,1,0,Under Construction,79,1890.0,Luxury,Mid Floor,1.99
146,East,2,2.0,2,No,Semifurnished,0,0,0,0,1,1,1,0,Under Construction,78,1350.0,Standard,High Floor,1.67
147,North,2,2.0,2,No,Semifurnished,1,0,0,0,1,1,1,0,Under Construction,79,1917.0,Luxury,Mid Floor,1.99
148,West,2,2.0,3,Yes,Semifurnished,0,1,0,0,1,1,0,0,New Property,89,1645.0,Luxury,High Floor,1.69
149,North-East,2,3.0,3,Yes,Unfurnished,0,1,0,0,1,0,0,0,Relatively New,66,1486.0,Standard,High Floor,2.05
150,East,2,2.0,3,Yes,Semifurnished,0,0,0,0,1,1,1,0,New Property,92,1417.5,Luxury,Mid Floor,1.1
151,South,2,2.0,2,Yes,Semifurnished,0,0,0,0,0,0,0,0,New Property,62,1809.6,Standard,Mid Floor,3.3
152,East,2,2.0,3,No,Semifurnished,0,0,0,0,1,1,0,0,New Property,65,1310.0,Standard,High Floor,2.36
